Num̩ro   Titre   numAut   Editeur   NombrePages   Genre   Disponibilit̩
1   Roman1   1   Moi   42   Fantastique   false
2   Roman2   1   Moi   42   Fantastique   true
3   Roman3   1   Nous   42   Fantastique   true
4   Roman4   2   Nous   42   Fantastique   false
5   Roman5   2   Nous   42   Fantastique   true
6   Roman6   2   Nous   42   Fantastique   true
7   Roman7   2   Nous   42   Fantastique   true
8   Roman8   2   Nous   42   Fantastique   true
9   Roman9   2   Nous   42   Fantastique   true
10   Roman10   2   Nous   42   Fantastique   true
11   Roman11   2   Nous   42   Fantastique   true
12   Roman12   2   Nous   42   Fantastique   true
13   Roman13   2   Nous   42   Fantastique   true
14   Roman14   2   Nous   42   Fantastique   true
15   Roman15   2   Nous   42   Fantastique   true
16   Roman16   2   Nous   42   Fantastique   true
17   Roman17   2   Nous   42   Fantastique   true
18   Roman18   2   Nous   42   Fantastique   true
19   Roman19   2   Nous   42   Fantastique   true
20   Roman20   2   Nous   42   Fantastique   true
21   Roman21   2   Nous   42   Fantastique   true
22   Roman22   2   Nous   42   Fantastique   true
23   Roman23   2   Nous   42   Fantastique   true
24   Roman24   2   Nous   42   Fantastique   true
25   Roman25   2   Nous   42   Fantastique   true
26   Roman26   2   Nous   42   Fantastique   true
27   Roman27   2   Nous   42   Fantastique   true
28   Roman28   2   Nous   42   Fantastique   true
29   Roman29   2   Nous   42   Fantastique   true
30   Roman30   2   Nous   42   Fantastique   true
31   Roman31   2   Nous   42   Fantastique   true
32   Roman32   2   Nous   42   Fantastique   true
33   Roman33   2   Nous   42   Fantastique   true
34   Roman34   2   Nous   42   Fantastique   true
35   Roman35   2   Nous   42   Fantastique   true
36   Roman36   2   Nous   42   Fantastique   true
37   Roman37   2   Nous   42   Fantastique   true
38   Roman38   2   Nous   42   Fantastique   true
39   Roman39   2   Nous   42   Fantastique   true
40   Roman40   2   Nous   42   Fantastique   true
41   Roman41   2   Nous   42   Fantastique   true
42   Roman42   2   Nous   42   Fantastique   true
43   Roman43   2   Nous   42   Fantastique   true
44   Roman44   2   Nous   42   Fantastique   true
45   Roman45   2   Nous   42   Fantastique   true
46   Roman46   2   Nous   42   Fantastique   true
47   Roman47   2   Nous   42   Fantastique   true
48   Roman48   2   Nous   42   Fantastique   true
49   Roman49   2   Nous   42   Fantastique   true
50   Roman50   2   Nous   42   Fantastique   true
51   Roman51   2   Nous   42   Fantastique   true
52   Roman52   2   Nous   42   Fantastique   true
53   Roman53   2   Nous   42   Fantastique   true
54   Roman54   2   Nous   42   Fantastique   true
55   Roman55   2   Nous   42   Fantastique   true
56   Roman56   2   Nous   42   Fantastique   true
57   Roman57   2   Nous   42   Fantastique   true
58   Roman58   2   Nous   42   Fantastique   true
59   Roman59   2   Nous   42   Fantastique   true
60   Roman60   2   Nous   42   Fantastique   true
61   Roman61   2   Nous   42   Fantastique   true
62   Roman62   2   Nous   42   Fantastique   true
63   Roman63   2   Nous   42   Fantastique   true
64   Roman64   2   Nous   42   Fantastique   true
65   Roman65   2   Nous   42   Fantastique   true
66   Roman66   2   Nous   42   Fantastique   true
67   Roman67   2   Nous   42   Fantastique   true
68   Roman68   2   Nous   42   Fantastique   true
69   Roman69   2   Nous   42   Fantastique   true
70   Roman70   2   Nous   42   Fantastique   true
